appeal_id,date,district,category,text,repeat_count,true_tier,is_urgent
97,2025-08-31,Ауэзовский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",1,medium,1
98,2025-06-02,Бостандыкский р-н,Безопасность,"Не горит один фонарь на ул. Жандосова, вечером немного темно.",0,low,0
99,2025-05-20,Медеуский р-н,Соцвопросы,Прошу разъяснить порядок оформления справки в ЦОН.,0,low,0
100,2025-03-18,Турксибский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",0,low,0
101,2025-08-09,Алмалинский р-н,Дороги,"Не работает светофор на оживлённом перекрёстке, уже было ДТП сегодня.",1,high,1
102,2025-05-23,Турксибский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,0
103,2025-01-28,Турксибский р-н,Дороги,"Глубокий провал асфальта на ул. Абая, машина чуть не попала в яму, аварийная ситуация.",2,high,1
104,2025-06-19,Наурызбайский р-н,Соцвопросы,Уже месяц не могу получить ответ по заявке на пособие по инвалидности.,3,medium,0
105,2025-03-21,Ауэзовский р-н,Благоустройство,"Обрушился фрагмент забора стройки на пешеходную дорожку, опасно для прохожих.",5,high,1
106,2025-01-19,Алмалинский р-н,Дороги,"Стёрлась дорожная разметка возле ул. Достык, просьба обновить.",1,low,0
107,2025-04-02,Ауэзовский р-н,Безопасность,"Не горит один фонарь на ул. Сейфуллина, вечером немного темно.",1,low,0
108,2025-08-15,Алмалинский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,0
109,2025-04-15,Медеуский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",2,medium,0
110,2025-03-02,Турксибский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,1,low,0
111,2025-06-06,Турксибский р-н,ЖКХ,"Течёт газ на кухне, чувствуется сильный запах, боимся находиться дома.",3,high,1
112,2025-04-10,Наурызбайский р-н,Благоустройство,"Не хватает урн во дворе на ул. Достык, мусор разбросан ветром.",0,low,0
113,2025-01-03,Наурызбайский р-н,Соцвопросы,"Не совсем понятен статус моей заявки на пособие, прошу уточнить.",0,low,1
114,2025-01-09,Ауэзовский р-н,ЖКХ,"В подъезде перегорела лампочка на 7 этаже, просьба заменить.",0,low,0
115,2025-09-28,Турксибский р-н,Благоустройство,"Не хватает урн во дворе на ул. Достык, мусор разбросан ветром.",0,low,0
116,2025-07-05,Турксибский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",0,medium,0
117,2025-06-05,Медеуский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",0,medium,0
118,2025-08-24,Наурызбайский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",1,medium,1
119,2025-05-01,Наурызбайский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
120,2025-05-31,Турксибский р-н,Благоустройство,"Не хватает урн во дворе на ул. Жандосова, мусор разбросан ветром.",2,low,1
121,2025-10-25,Ауэзовский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,0,low,0
122,2025-10-12,Ауэзовский р-н,ЖКХ,"В подъезде перегорела лампочка на 8 этаже, просьба заменить.",0,low,0
123,2025-06-22,Наурызбайский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",0,medium,0
124,2025-10-20,Ауэзовский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
125,2025-01-06,Турксибский р-н,ЖКХ,"В подъезде перегорела лампочка на 5 этаже, просьба заменить.",0,low,0
126,2025-09-29,Медеуский р-н,Соцвопросы,Уже месяц не могу получить ответ по заявке на пособие по инвалидности.,2,medium,1
127,2025-04-11,Медеуский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
128,2025-04-24,Ауэзовский р-н,Безопасность,"Сломано ограждение возле детской площадки на ул. Толе би, дети могут выйти на дорогу.",1,medium,1
129,2025-10-22,Ауэзовский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",2,medium,0
130,2025-06-06,Ауэзовский р-н,Благоустройство,"Обрушился фрагмент забора стройки на пешеходную дорожку, опасно для прохожих.",2,high,1
131,2025-01-04,Наурызбайский р-н,ЖКХ,"Течёт газ на кухне, чувствуется сильный запах, боимся находиться дома.",1,high,1
132,2025-07-19,Наурызбайский р-н,Дороги,"Стёрлась дорожная разметка возле ул. Достык, просьба обновить.",0,low,0
133,2025-04-03,Ауэзовский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",1,low,0
134,2025-10-25,Алмалинский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,0
135,2025-03-06,Бостандыкский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
136,2025-09-01,Турксибский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,1,low,0
137,2025-04-28,Ауэзовский р-н,ЖКХ,"В подъезде перегорела лампочка на 8 этаже, просьба заменить.",0,low,0
138,2025-03-19,Турксибский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",3,medium,0
139,2025-09-19,Ауэзовский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,1,medium,1
140,2025-10-08,Медеуский р-н,Соцвопросы,Уже месяц не могу получить ответ по заявке на пособие по инвалидности.,1,medium,0
141,2025-06-14,Алмалинский р-н,Безопасность,"Не горит один фонарь на ул. Абая, вечером немного темно.",0,low,0
142,2025-04-09,Наурызбайский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,1,medium,1
143,2025-03-30,Бостандыкский р-н,Безопасность,"Сломано ограждение возле детской площадки на ул. Жандосова, дети могут выйти на дорогу.",1,medium,0
144,2025-02-14,Бостандыкский р-н,Дороги,"Крупная яма на дороге по мкр. Самал, машины объезжают по встречке.",1,medium,1
145,2025-10-23,Бостандыкский р-н,ЖКХ,"Небольшая течь под раковиной на кухне, капает медленно.",0,low,0
146,2025-08-25,Турксибский р-н,Дороги,"Провалился люк на дороге, риск повредить колесо.",1,medium,0
147,2025-07-08,Ауэзовский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",1,low,0
148,2025-08-17,Наурызбайский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
149,2025-01-16,Медеуский р-н,ЖКХ,Полностью отключено отопление в доме при минусовой температуре на улице.,3,high,1
150,2025-07-31,Бостандыкский р-н,Безопасность,"Тёмный двор без освещения, страшно ходить вечером, были случаи хулиганства.",2,medium,1
151,2025-09-12,Ауэзовский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",2,medium,0
152,2025-02-08,Алмалинский р-н,Безопасность,"Обрушение части козырька подъезда, есть угроза жизни жильцам, требуется срочный осмотр.",2,high,1
153,2025-08-29,Медеуский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,0,medium,0
154,2025-10-02,Ауэзовский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,0
155,2025-03-04,Алмалинский р-н,Безопасность,"Открытый колодец без ограждения возле школы на ул. Абая, ребёнок чуть не упал.",1,high,0
156,2025-01-01,Медеуский р-н,Безопасность,"Обрушение части козырька подъезда, есть угроза жизни жильцам, требуется срочный осмотр.",3,high,0
157,2025-09-10,Наурызбайский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",1,medium,0
158,2025-06-06,Алмалинский р-н,Благоустройство,"Открытая теплотрасса во дворе на ул. Толе би, есть риск ожога для детей.",5,high,1
159,2025-06-29,Алмалинский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",0,low,0
160,2025-08-09,Алмалинский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,0,low,0
161,2025-02-06,Турксибский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,1
162,2025-08-04,Турксибский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",1,low,0
163,2025-08-21,Ауэзовский р-н,Дороги,"Не работает светофор на оживлённом перекрёстке, уже было ДТП сегодня.",1,high,1
164,2025-08-03,Медеуский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",1,medium,0
165,2025-05-13,Ауэзовский р-н,Соцвопросы,Прошу разъяснить порядок оформления справки в ЦОН.,0,low,0
166,2025-09-28,Бостандыкский р-н,Безопасность,Хотелось бы больше освещения во дворе для вечерних прогулок.,0,low,0
167,2025-10-17,Алмалинский р-н,Благоустройство,"Открытая теплотрасса во дворе на ул. Достык, есть риск ожога для детей.",5,high,1
168,2025-08-26,Наурызбайский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",1,low,0
169,2025-07-05,Алмалинский р-н,Безопасность,"Сломано ограждение возле детской площадки на ул. Толе би, дети могут выйти на дорогу.",1,medium,0
170,2025-06-12,Алмалинский р-н,ЖКХ,"Небольшая течь под раковиной на кухне, капает медленно.",0,low,1
171,2025-07-29,Медеуский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",1,medium,0
172,2025-04-26,Наурызбайский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",1,medium,0
173,2025-03-07,Наурызбайский р-н,Дороги,"Стёрлась дорожная разметка возле мкр. Самал, просьба обновить.",0,low,0
174,2025-07-06,Бостандыкский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,0
175,2025-04-06,Бостандыкский р-н,Дороги,"Стёрлась дорожная разметка возле ул. Абая, просьба обновить.",0,low,0
176,2025-02-12,Медеуский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
177,2025-03-29,Наурызбайский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",6,medium,1
178,2025-04-29,Бостандыкский р-н,Благоустройство,"Открытая теплотрасса во дворе на ул. Сейфуллина, есть риск ожога для детей.",0,high,1
179,2025-07-21,Ауэзовский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
180,2025-01-28,Медеуский р-н,Дороги,"Не работает светофор на перекрёстке уже второй день, заторы.",1,medium,1
181,2025-02-26,Медеуский р-н,ЖКХ,"Отключили горячую воду без предупреждения, третий день без воды.",4,medium,0
182,2025-02-16,Наурызбайский р-н,Дороги,"Стёрлась дорожная разметка возле ул. Сейфуллина, просьба обновить.",0,low,0
183,2025-10-23,Медеуский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",0,medium,0
184,2025-08-16,Турксибский р-н,ЖКХ,Полностью отключено отопление в доме при минусовой температуре на улице.,4,high,1
185,2025-04-11,Ауэзовский р-н,Безопасность,"Не горит один фонарь на ул. Розыбакиева, вечером немного темно.",0,low,0
186,2025-07-14,Медеуский р-н,Дороги,"Глубокий провал асфальта на мкр. Аксай, машина чуть не попала в яму, аварийная ситуация.",2,high,1
187,2025-10-25,Медеуский р-н,Соцвопросы,"Пожилой человек не может получить экстренную соцпомощь, ситуация критическая.",2,high,1
188,2025-01-31,Наурызбайский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
189,2025-08-23,Ауэзовский р-н,Безопасность,"Сломано ограждение возле детской площадки на ул. Сейфуллина, дети могут выйти на дорогу.",1,medium,1
190,2025-05-29,Ауэзовский р-н,ЖКХ,"Отключили горячую воду без предупреждения, третий день без воды.",0,medium,0
191,2025-09-13,Турксибский р-н,Благоустройство,"Аварийное дерево во дворе накренилось после ветра, может упасть на игровую площадку.",3,high,1
192,2025-05-24,Ауэзовский р-н,ЖКХ,"Небольшая течь под раковиной на кухне, капает медленно.",0,low,0
193,2025-03-26,Турксибский р-н,Соцвопросы,Прошу разъяснить порядок оформления справки в ЦОН.,2,low,0
194,2025-04-15,Ауэзовский р-н,Дороги,"Не работает светофор на оживлённом перекрёстке, уже было ДТП сегодня.",3,high,1
195,2025-10-25,Медеуский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",0,medium,1
196,2025-07-11,Бостандыкский р-н,Безопасность,Просьба поставить дополнительный знак пешеходного перехода.,0,low,0
197,2025-06-10,Медеуский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
198,2025-04-07,Медеуский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,0
199,2025-05-12,Ауэзовский р-н,ЖКХ,"Батареи чуть тёплые уже неделю, в квартире холодно, дети мёрзнут.",0,medium,0
200,2025-01-08,Наурызбайский р-н,Соцвопросы,Не могу записаться на приём к социальному работнику уже 3 недели.,1,medium,1
201,2025-09-10,Турксибский р-н,Соцвопросы,Не могу записаться на приём к социальному работнику уже 3 недели.,1,medium,0
202,2025-02-19,Медеуский р-н,Благоустройство,"Не убирают снег во дворе третий день, сложно пройти с коляской.",1,medium,0
203,2025-03-23,Наурызбайский р-н,Дороги,"Провалился люк на дороге, риск повредить колесо.",1,medium,0
204,2025-08-06,Медеуский р-н,Дороги,"Небольшая яма на обочине, не мешает движению, но стоит подлатать.",0,low,1
205,2025-03-08,Медеуский р-н,ЖКХ,"Отключили горячую воду без предупреждения, третий день без воды.",3,medium,1
206,2025-05-15,Наурызбайский р-н,Безопасность,"Не горит один фонарь на мкр. Самал, вечером немного темно.",0,low,0
207,2025-03-01,Турксибский р-н,Благоустройство,"Сломана детская горка на площадке, дети могут пораниться.",2,medium,1
208,2025-08-05,Турксибский р-н,Безопасность,"Открытый канализационный люк во дворе, дети играют рядом.",0,medium,0
209,2025-01-06,Турксибский р-н,Безопасность,"Не горит один фонарь на мкр. Самал, вечером немного темно.",0,low,0
210,2025-09-09,Алмалинский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
211,2025-06-11,Алмалинский р-н,Соцвопросы,Прошу разъяснить порядок оформления справки в ЦОН.,0,low,0
212,2025-08-09,Ауэзовский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
213,2025-05-11,Ауэзовский р-н,ЖКХ,"Отключили горячую воду без предупреждения, третий день без воды.",1,medium,0
214,2025-01-12,Медеуский р-н,Безопасность,"Тёмный двор без освещения, страшно ходить вечером, были случаи хулиганства.",1,medium,1
215,2025-01-17,Ауэзовский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",2,low,0
216,2025-08-16,Ауэзовский р-н,Благоустройство,"Свалка строительного мусора во дворе уже неделю, портит вид и мешает проходу.",1,medium,1
217,2025-09-10,Медеуский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
218,2025-05-05,Бостандыкский р-н,Соцвопросы,Хотелось бы получить консультацию по льготам для пенсионеров.,0,low,0
219,2025-09-22,Ауэзовский р-н,Соцвопросы,Уже месяц не могу получить ответ по заявке на пособие по инвалидности.,0,medium,1
220,2025-05-30,Бостандыкский р-н,Благоустройство,"Просьба покрасить лавочки во дворе, облезла краска.",0,low,0
221,2025-05-02,Алмалинский р-н,ЖКХ,"В подъезде перегорела лампочка на 2 этаже, просьба заменить.",0,low,0
222,2025-03-03,Медеуский р-н,Соцвопросы,Уже месяц не могу получить ответ по заявке на пособие по инвалидности.,1,medium,0
223,2025-09-13,Ауэзовский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,1,medium,0
224,2025-07-18,Турксибский р-н,Благоустройство,"Хотелось бы больше зелени во дворе, если возможно посадить деревья.",0,low,1
225,2025-09-25,Наурызбайский р-н,Соцвопросы,Задержка выплаты пособия на ребёнка второй месяц подряд.,0,medium,1
226,2025-03-11,Наурызбайский р-н,Безопасность,"Обрушение части козырька подъезда, есть угроза жизни жильцам, требуется срочный осмотр.",0,high,1
227,2025-03-02,Бостандыкский р-н,Дороги,"Тротуар немного просел возле дома, ходить неудобно.",0,low,0
